Batch_ID,Duration_Minutes,Data_Points,Avg_Temperature,Max_Temperature,Avg_Pressure,Max_Compression_Force,Avg_Power_Consumption,Max_Motor_Speed,Avg_Humidity_Percent,Avg_Flow_Rate_LPM,Avg_Vibration_mm_s,Max_Vibration_mm_s,Max_Humidity_Percent,Max_Flow_Rate_LPM,Avg_Motor_Speed_RPM,Avg_Compression_Force_kN,Max_Power_Consumption_kW,Max_Pressure_Bar,Granulation_Time,Binder_Amount,Drying_Temp,Drying_Time,Compression_Force,Machine_Speed,Lubricant_Conc,Moisture_Content,Tablet_Weight,Hardness,Friability,Disintegration_Time,Dissolution_Rate,Content_Uniformity
T011,219,220,34.88558534465347,72.42581831742481,0.9850768678961,17.95800694491503,22.53143307815722,887.9285229162565,37.00054153774005,4.82266480308252,2.9418472768740975,10.51742922389495,63.5241197981385,9.278583450288336,158.91024444527363,15.858144130615209,55.97604081211801,1.292040654954956,11,6.8,68,19,15.8,110,0.5,3.0,203.5,118,0.42,13.2,84.7,104.2
T012,266,267,35.23925789233978,68.58306008481175,0.9776148056752844,11.2815926434899,23.90681989845886,873.6935177206216,37.17107888258886,5.622072609030293,3.128709865291638,10.25922168330218,61.72923262254563,9.322208873840395,164.01362232212054,8.939305235762916,60.60580698911032,1.36633674290579,19,10.2,56,34,8.9,190,1.6,1.6,199.2,81,0.82,5.8,94.1,95.5
T013,228,229,35.04642775109208,63.16135307627248,0.9802925008255974,15.02659660171609,24.14119557880435,923.2867363776244,37.094571055670585,5.480842381109749,3.1818121291575547,10.06864690072089,62.85579703402418,9.010990840538664,163.60820724246122,12.746549520223091,58.92442430187218,1.343934794609126,15,8.2,61,26,12.8,155,1.0,2.2,200.6,96,0.68,8.5,89.8,98.3
T014,284,285,35.47166233078043,70.1718152558982,0.9701044690258012,8.600451371446567,24.74730333856824,884.8125802183381,36.40670093147275,5.588654973662222,3.05877101930027,9.628090770942515,64.65169513567471,9.889063212223569,134.8210223408703,6.651137074254711,59.0693874978938,1.421768860637776,23,11.5,50,40,6.5,240,2.0,1.0,206.8,58,1.28,3.9,97.2,93.1
T015,223,224,34.67666384065181,68.56405527146767,0.9639574417647117,16.32471584735008,20.85011780804862,896.595723102702,38.495830302638225,5.0121193334467415,2.7714126906602137,10.3861425545811,60.78495063943446,9.676766394978529,183.84117453665743,14.79303684226309,57.47330866988472,1.401961040441142,12,7.2,66,21,14.8,125,0.8,2.7,202.1,112,0.48,11.5,87.2,101.9
T016,254,255,35.21693998840433,68.1682830026192,0.986339529734894,11.92507021847448,25.03384668997557,871.3288261811007,36.99443224587028,5.843305964226276,3.222848667794371,9.21432611438734,61.29389927290695,10.00033448232047,143.02345537046665,10.115263084670952,68.36016622170995,1.419022294455289,18,9.8,57,33,10.2,175,1.3,1.7,198.8,83,0.85,6.4,90.6,97.7
T017,220,221,35.48029090904035,66.62329055202875,0.9729717231594366,15.24090811403133,21.12125989360996,876.0335355987842,37.48803808005514,4.9137444422369905,2.7144609765113414,10.09375653356986,61.05889518926888,9.13031681502227,165.74337157506315,13.743784140440852,57.38167141506993,1.326789326806629,14,8.0,64,23,13.8,145,0.9,2.5,199.5,105,0.55,9.8,86.8,100.4
T018,251,252,36.1283408333564,68.28906769282419,0.9730776517409262,10.63544715173369,24.23597247002046,913.0661689926118,36.52515547316676,5.77700005498805,3.2064849445987393,8.999858856006256,65.06276367911066,10.22985946944027,163.2234169532793,7.7830302579353425,62.41443833943723,1.39266091723168,21,10.8,53,37,7.8,210,1.7,1.3,204.3,68,1.08,4.6,96.4,94.8
T019,252,253,35.00647055969783,65.66018912927369,0.9718280921245684,13.98154024615221,23.54999969717781,886.6887205948101,37.21871874567335,5.163303850718439,3.0565132644206883,10.18941777503969,61.99523375008705,8.830429765942583,150.75516053653925,12.108226745951006,55.38460388692859,1.308840110445459,16,8.6,62,27,12.2,165,1.1,2.0,200.9,89,0.75,7.6,91.1,98.9
T020,221,222,33.83756998771753,75.15721924881022,0.986285630652642,19.79069833265416,26.25042577787013,896.5272704429708,35.966064908067786,4.79748330201351,3.5255220740966338,10.50326280268388,62.51426911008148,10.01597838874806,160.08328808477273,17.549155775519015,58.4826822610236,1.375635737562698,9,6.0,72,16,17.5,95,0.4,3.5,204.2,132,0.32,16.2,82.3,105.8
T021,254,255,35.17047503632014,65.90564605009584,0.9839461694132876,12.92956293981231,25.49189556040527,890.4601860543139,36.48854408822433,5.353875975499508,3.2129474971998846,10.01617227011468,62.37108050221346,9.561913230097048,151.14838672770347,11.516732426857695,60.19860443506786,1.415981058078821,17,9.1,58,29,11.5,185,1.2,1.9,197.8,86,0.79,6.7,92.8,96.4
T022,247,248,34.98992062787141,68.14537571056226,0.9759749650521672,16.07917860541359,23.96130402223374,859.4053545517731,36.32860964114188,4.903432665451699,3.098811498413185,9.225036755461058,69.05360017256183,10.08034557346988,146.86651642384294,14.623138063038706,55.66142413873373,1.316900963295087,13,7.6,65,24,14.5,135,0.7,2.6,201.4,109,0.51,10.1,88.1,102.6
T023,216,217,36.8774574323083,68.16528399185964,0.9737040886240474,9.83305980347508,22.21036052922989,938.1510675317272,37.63085849287827,5.839858990133709,2.9002982691762456,9.70324997911328,62.89238963004816,9.186434694437516,168.29526515736444,8.122485102542452,57.84774982143578,1.351549269398675,20,10.5,54,36,8.2,205,1.6,1.4,203.7,74,0.92,5.2,94.9,95.1
T024,211,212,35.05997305051368,64.9106151466997,0.9876229708841144,15.48699766576089,21.47237323137698,877.089667078314,38.208158182207434,5.539297560960866,2.799833047994935,8.618622988072904,61.73637013991358,9.47678341385792,153.15272975861447,13.191942241600827,57.17133168892914,1.474516134269566,15,8.4,61,25,13.1,150,1.0,2.1,200.3,98,0.62,8.8,89.5,98.5
T025,240,241,37.17765674788798,72.1361894532168,0.9772583048060416,7.449259185996621,22.23911932027831,895.278776626801,36.43405749244076,5.525971881778561,2.7660159857136772,10.8256552456528,62.51789587883297,9.528268133082753,148.6660853005477,5.971770408711466,60.15522652592813,1.389169208403015,24,12.0,48,42,6.0,250,2.2,0.8,208.1,52,1.42,3.5,98.6,92.4
T026,216,217,34.70365217016981,70.34198171636507,0.975735622797846,17.91252808454258,23.46652075698197,872.5904358070655,36.99543215575526,5.1900065698208095,3.11220630652378,10.37155680946763,63.98806784097496,9.237724748878463,153.09104212638306,15.947473272326482,56.93965753556333,1.299150812935289,11,6.9,69,20,16.0,115,0.6,2.9,202.8,121,0.39,12.8,85.9,103.7
T027,209,210,36.17544288091086,66.50904110874627,0.9821450536859352,12.64776565238199,22.60335157430309,921.9843205274542,37.84818656876364,5.812291508920617,2.8995593612750414,9.28861737511281,63.14420704348636,10.80870197727893,145.3600575212727,10.535284335766152,59.55763387602469,1.334935985267226,18,9.4,56,31,10.5,180,1.3,1.8,199.1,80,0.86,6.3,93.2,97.1
T028,221,222,34.63149641498336,65.32540584836059,0.9859648279454736,15.26925196991562,23.21191010256863,936.502452260526,37.81009079209334,5.483687705200467,2.9872672022339577,9.156260471125442,61.10384475115848,9.642403066002087,147.286174010394,13.728858390756404,61.39354794245812,1.334448316613829,14,7.9,63,23,14.0,140,0.8,2.4,201.6,106,0.56,9.5,87.6,100.9
T029,267,268,35.57472138931158,71.27222522543538,0.9782140556271608,10.10351735769963,24.62648339257696,890.19888665511,36.38412584730335,5.810849316767696,3.1049139482149752,8.734227956411074,64.33842713488251,10.43478505879717,131.06517125978706,7.592054693387954,60.71235558903637,1.411182569338653,22,11.2,51,39,7.5,225,1.9,1.1,205.9,61,1.21,4.1,96.8,93.6
T030,255,256,34.68178638759256,63.2698981861212,0.9802416216021992,13.62140858650999,23.37381014129509,868.2634279331216,37.08396177382112,5.221801908435808,3.0099318026220905,8.723469183712966,60.60105208747819,9.148236049477225,141.46159517512606,12.090176376527268,59.3345783023958,1.287401064142567,16,8.7,60,28,12.0,160,1.1,2.2,200.5,93,0.71,8.1,90.4,98.8
T031,232,233,33.53995458509598,74.54181551785729,0.9838718618612547,19.21368992010866,22.54540689514896,875.9879386446363,37.583754309347775,4.802639389493669,2.9293445545113936,9.173219723660235,62.26951069786692,9.637840127042152,147.33234112227643,17.086420560746316,55.70229079030712,1.341589183214925,10,6.3,71,17,17.2,105,0.5,3.3,203.9,128,0.35,15.1,83.8,104.9
T032,259,260,35.97264027642394,67.84491854823551,0.97919561350435,10.77021149414546,24.00391471125238,839.4296648134886,36.54657006882992,5.4131565154625125,3.1132488113276753,10.44582102051104,65.25259501614033,9.819458554676409,161.68722277585456,8.972365642575514,60.27864314776298,1.375939667405006,19,9.9,55,34,9.1,195,1.5,1.6,198.3,76,0.89,5.9,93.7,96.2
T033,235,236,34.33404141144617,66.59931402439129,0.9768519342928385,15.6652126751727,21.82865821919712,911.3035573568376,38.12345098992395,5.0794190392705545,2.9705674687840418,9.297325470037435,63.49670621803392,8.84748059587672,177.32252874184093,14.243615861454227,58.13973012346489,1.341480766112764,13,7.7,64,22,14.3,138,0.7,2.5,201.9,111,0.49,10.7,87.4,101.8
T034,266,267,36.20775411308465,69.7521237551806,0.966911317875324,9.594828194985284,21.15689531560543,873.0847846175914,37.10275406203359,5.291023776589109,2.765813252040773,9.461056665797337,62.15198025124504,9.08793981415957,176.34491092082817,7.973984308894093,59.1326384385353,1.46857243951583,21,10.7,52,38,8.0,215,1.7,1.3,204.8,70,1.05,4.8,95.3,94.5
T035,247,248,34.69029380340938,64.26581443938474,0.978636850617024,15.02314374449145,25.78154924024425,890.9125470598746,36.55149110559668,5.381205446156048,3.439201562058732,9.002102735513644,66.88360078398631,8.870428406873213,153.8559346489848,12.60592220029023,57.118186642872,1.56329567226075,15,8.3,62,26,12.6,152,1.0,2.1,200.7,97,0.66,8.4,89.9,98.6
T036,272,273,35.52565596020796,72.41102823028217,0.9727855269535464,7.538658562606528,22.68323368091673,895.0589460209603,37.66233931261024,5.992315010989287,2.997608627419545,10.10023048446942,63.68545567779111,10.56133760022323,165.41446041232993,5.680200096038418,57.53411448030857,1.375334654098133,25,12.5,46,44,5.5,260,2.4,0.6,209.5,48,1.58,3.2,99.1,91.8
T037,254,255,34.27618749727164,68.98330414839825,0.9769509680524592,17.39368978870213,24.55058485145725,889.9552692506202,36.674939530002845,4.836046868336084,3.289887010979915,9.734315137143126,66.55178136832691,9.405719512503897,167.29436845135888,15.513469929248208,59.98694946677515,1.405526531086346,12,7.1,67,19,15.5,120,0.6,2.8,202.4,116,0.44,13.6,86.1,102.3
T038,197,198,36.78633769732369,65.90410233658858,0.9853213863444028,13.2024395644958,22.14544494671828,897.5347326389182,38.295585118862704,5.755629558844094,2.927248223633273,9.486994428952162,65.20797495945764,9.66512946678643,176.22649389780233,11.065877922139563,64.3595478062973,1.455552218202007,17,9.3,58,30,11.0,178,1.2,1.9,198.9,84,0.81,6.6,91.8,97.4
T039,261,262,34.11991193392087,65.8466452813443,0.9836180867970248,15.67760753137457,23.60682382439181,877.2040850557573,37.49878384466111,5.210882392554668,3.138433546424187,9.521394887122405,62.42529348465027,9.225663917021905,160.93833938033197,13.518681550021713,57.26323804459033,1.368254824692604,14,8.1,63,24,13.6,143,0.9,2.4,200.2,103,0.59,9.2,88.3,100.1
T040,261,262,36.48714388057261,70.65956280738983,0.96813326127727,8.27993365765229,21.3063684018696,945.5157358267644,36.81705808250727,5.396724170346422,2.7417867127643256,9.592866603789052,65.44838092640505,9.841765623500766,174.78051477795233,6.7319453123685795,55.86435045937813,1.413195837875131,23,11.8,49,41,6.8,235,2.1,0.9,207.2,55,1.35,3.7,97.8,92.9
T041,258,259,34.74722382618566,64.9261391669674,0.9771643048633704,13.94075018090576,23.65545894585948,885.0260717771358,36.77358819964589,5.388284415166216,3.10784964504474,11.30821161711792,63.62866012784534,9.2388989047714,152.11504019350485,11.885445789423104,57.85691742388403,1.303459720469962,16,8.9,59,29,11.8,168,1.1,2.0,199.6,91,0.73,7.8,90.7,98.2
T042,239,240,34.23353355840121,74.01674693968289,0.9853239589855942,19.14914365084161,22.90350359477015,865.9679428439724,37.50243014584984,4.641302308831119,3.057948489451969,10.27698454226455,62.49915225240365,9.195558750053614,178.33360188555864,16.803124355252866,61.79867854614741,1.43071587737042,11,6.6,70,18,16.8,108,0.5,3.1,203.1,124,0.37,14.3,84.5,104.1
T043,262,263,35.95890446993872,66.91910530667802,0.9817017078549348,10.49594002172815,24.98558412403493,898.028208633678,36.23778219020667,5.294540353232161,3.221367747018035,9.413723613204334,61.12190419752591,9.357223871716142,155.02596783335898,8.83441332278355,60.3876118765043,1.402120160398006,20,10.3,54,35,8.7,200,1.6,1.5,202.9,77,0.91,5.6,94.5,95.8
T044,218,219,35.19119578041219,64.83834621799093,0.9782455002636186,14.66131596967664,22.10139037990655,866.0959445157475,38.532791508543504,5.4236445877576145,2.911942647338589,10.78245213195103,60.58517158757567,8.9910028585357,172.70048197417785,12.897289841273931,58.81101004486355,1.350996198784996,15,8.5,61,25,13.0,155,1.0,2.2,200.4,95,0.64,8.6,89.1,98.9
T045,279,280,35.60665291103164,74.54075132119964,0.9729760278451997,6.755513859821662,24.53734823123285,876.5734378000968,35.85911941860189,5.876524742960588,3.100100482726967,9.34149164862614,61.08354260943563,9.582106919986996,126.68841019896074,5.0531341194776145,56.53959965868717,1.376962100440885,26,13.0,44,46,5.0,270,2.6,0.4,211.3,44,1.74,2.9,99.8,90.5
T046,193,194,35.63173551277778,69.4084921958603,0.9849686339882502,16.8909479110805,23.41966217612178,877.8580484602794,37.70656869999463,5.127280110799346,3.205704284535755,9.039505553307263,61.66314140685326,9.008439685987003,186.0084195449254,15.348546244432956,60.15936922822981,1.302309355649333,12,7.3,66,20,15.2,122,0.6,2.7,201.8,114,0.46,12.4,86.8,101.7
T047,256,257,35.24633039964997,67.80647483767807,0.977805304269309,12.32691625900395,23.34640494668581,872.3242835510473,37.06869246304619,5.292303440973867,2.9092182788446657,9.320594294885744,63.64030443043114,9.547415226246322,140.38059349459948,10.422054490114224,59.42157395028056,1.417137669288036,18,9.6,57,32,10.3,182,1.3,1.8,199.4,82,0.84,6.2,92.6,96.9
T048,236,237,34.70032166739624,66.55435293096482,0.9694119375129407,15.41718668240534,19.74139427617885,834.8579924415187,38.09220659706876,4.951443273694069,2.572401816403048,9.505223219461133,62.21769109007453,9.565186411855684,155.2777963927803,14.130880531674611,56.48279385247532,1.376105114079976,14,7.8,64,23,14.1,141,0.8,2.5,201.1,107,0.53,9.9,87.9,100.6
T049,234,235,37.41972674866698,69.95566131044691,0.962068617816906,10.16460716614685,22.0999258065403,911.9377561918444,36.870434121673355,5.255165017960267,2.8640354207004854,9.28507375349396,69.34893383437506,9.621074992371378,176.4595444719177,8.075536689347944,62.82644529013005,1.436910375608419,21,10.9,53,37,7.9,218,1.8,1.2,205.6,66,1.12,4.4,96.1,94.3
T050,246,247,35.44950510001068,64.89796458708906,0.9808380429618908,14.21604212521826,26.62994309570094,842.0962082214593,35.77609414410694,5.113391057716692,3.39568029577332,9.15996374858512,66.08981310316987,9.344715192577087,140.4703179537362,12.297791172909736,67.99762095683379,1.336951656956621,16,8.8,60,27,12.3,162,1.1,2.1,200.8,94,0.69,8.0,90.2,98.4
T051,197,198,34.18966285692157,74.87711500690064,0.9854395053184412,19.86440605640797,23.33127049753452,875.2443977851385,37.15251024499692,4.988440236564934,3.080090049716414,10.42702789605363,63.04951261627785,9.399289464468616,147.60994818096157,17.850392852512204,53.71976155421692,1.381163362525819,9,5.8,73,15,18.0,92,0.4,3.6,204.7,135,0.29,17.5,81.2,106.3
T052,267,268,34.93108045841732,67.09962013264669,0.9728274340634264,10.95841002883938,22.13035087346821,913.701132545342,37.252568842566,5.37922105723122,2.74987350521022,8.99182215478637,65.02116124802737,9.961630474070972,143.18736110488206,9.49414121399437,59.53221853240117,1.348506366961604,19,10.0,55,33,9.4,192,1.5,1.7,198.7,79,0.87,5.7,93.9,96.6
T053,243,244,34.16257050787856,68.0669913390501,0.9749606465977192,16.3055609213805,25.75921240653262,884.653246174875,36.25215646657649,5.185365593318381,3.3750134678156165,10.1514120581104,60.68903878068249,9.372955487070726,151.05251408218524,14.674996903271762,56.569204503935,1.367630535281389,13,7.4,65,21,14.7,132,0.7,2.6,202.2,113,0.47,11.8,86.9,102.4
T054,265,266,35.45531195665311,70.16672803230335,0.980731804947564,8.731616481777257,25.15659881761344,864.0342619170585,37.01677289856864,6.115271562538595,3.2150120970518135,8.956813434290774,68.75174030428475,9.688221547975662,150.70320788200698,7.268614576194936,59.88451299088584,1.362345975547428,22,11.3,50,39,7.3,228,1.9,1.1,206.4,63,1.18,4.0,97.4,93.4
T055,217,218,35.77806816133435,64.85701503903735,0.9776807772433468,14.07070822356894,22.1989660846666,880.4168506468586,37.95853118306275,5.2442840247839255,2.972035426997577,10.6185949655326,61.96099170606304,9.356401113788904,188.69124833511793,12.63471706935243,53.08091851043133,1.384667919797437,15,8.6,62,26,12.7,157,1.0,2.2,200.1,99,0.67,8.3,89.6,98.7
T056,280,281,35.89785881069061,74.70935590085429,0.9669261947392348,6.592440437838981,22.97249306061249,870.2939978651161,36.34504552130215,5.648424652878255,2.8669021253175577,9.934724123547392,66.77167313701979,9.478617195948177,149.36271719268558,4.538711958381044,56.8816513490573,1.339825448816028,27,13.5,42,48,4.5,280,2.8,0.2,213.8,40,1.92,2.6,99.9,89.8
T057,247,248,33.83449238188419,70.01294294210095,0.9865579491626169,18.24525162898234,21.9844567312697,863.6851035654327,37.43012806197803,4.771230830913899,2.8835050897762247,10.41095568328976,59.57624817956565,10.72854576847942,169.06566247282785,16.347543114985402,57.67255067963557,1.421002116255804,11,6.7,68,19,16.5,112,0.5,3.0,203.6,119,0.41,13.9,85.3,103.8
T058,228,229,35.63102846834784,65.81904662684107,0.9764262611851754,12.94978430050399,21.33039289042235,873.2148235268779,38.04218548072244,5.597557806894187,2.702177803583209,10.12178889811704,61.2499781021715,9.454320083698375,146.65380434039733,11.028115689762132,62.59586327125963,1.538990777284416,17,9.2,58,31,10.8,174,1.2,1.9,199.8,87,0.76,6.9,91.4,97.6
T059,247,248,33.7575294190542,66.34970852054637,0.97723926733171,15.57854972474602,24.28355982970906,867.8099236915094,37.71297748744782,5.648824277257637,3.1242053366170413,10.78237617805954,64.7240634583247,9.45860389044066,144.94671634629,13.794855809146808,60.79769348470554,1.366490685973735,14,8.0,63,24,13.9,146,0.9,2.4,200.9,104,0.57,9.4,88.7,100.3
T060,241,242,36.38394409790615,71.06540262308862,0.9857979294678654,8.450312480716725,20.06261452954891,914.040446329541,37.601243894036,6.013945797628836,2.574082447969226,9.360268267946577,61.59695503578224,9.557680814778928,147.17935279016987,6.386197359887357,59.20567189931626,1.443118774686559,24,12.2,48,43,6.2,245,2.2,0.7,208.9,50,1.46,3.4,98.4,92.1
